ID,Coordination Partner,Scenario,Question,Option A,Option B,Option C,Correct
12,Partner from an isolated Amazonian tribe with no contact with modern technology,"You and a member of an isolated Amazonian tribe are both shown three objects: a smartphone, a hand mirror, and a machete. You are told: 'Pick the most useful object.' You win only if you match.",Which object do you pick?,Smartphone,Hand mirror,Machete,C
13,Foreign exchange student who arrived in the US yesterday,You and a foreign exchange student who just arrived in the US must independently name a famous American landmark. You win only if you match.,Which landmark do you name?,The Statue of Liberty,The Golden Gate Bridge,Mount Rushmore,A
14,Partner who is completely colourblind (achromatopsia),"You and a completely colourblind partner must independently describe a ripe banana. You win only if you give the same one-word description. Options: yellow, curved, sweet.",Which word do you say?,Yellow,Curved,Sweet,B
15,"A shy, introverted 10-year-old at a birthday party","You and a shy 10-year-old at a birthday party must independently pick the best party activity from: karaoke, a treasure hunt, playing video games quietly. You win only if you match.",Which activity do you pick?,Karaoke,A treasure hunt,Playing video games quietly,C
16,An immigrant who arrived 3 months ago and speaks very limited local language,"You and a recent immigrant with very basic language skills are at a supermarket. You must independently pick one item from: rice, artichoke, quinoa. The prompt is: 'Pick the food everyone in the world eats.' You win only if you match.",Which food do you pick?,Rice,Artichoke,Quinoa,A
17,Night-shift security guard with no higher education,You and a night-shift security guard must independently name the most important invention in history. You win only if you match.,Which invention do you name?,The printing press,Electricity / the light bulb,The internet,B
18,"A street vendor in Lagos, Nigeria",You and a Lagos street vendor must independently name one animal when prompted with 'Africa.' You win only if you match.,Which animal do you name?,Lion,Elephant,Goat,A
19,Autistic adult who processes language very literally,"You and an autistic adult who interprets language literally must independently complete the phrase: 'It's raining ___.' Options: cats and dogs, very heavily, water from the sky. You win only if you match.",Which phrase do you choose?,Cats and dogs,Very heavily,Water from the sky,B
20,A 4-year-old learning to count,"You and a 4-year-old are playing a number game. The teacher says: 'Both of you, pick your favourite number between 1 and 10. You win if you match!' Options: 7, 3, 10.",Which number do you pick?,7,3,10,C
21,6-year-old child,"You and the child are told: ""Pick the most magical creature."" You are shown a unicorn, a realistic owl, and a fruit bat. You win only if you and the child point to the same animal.",Which one do you pick?,unicorn,realistic owl,fruit bat,A
22,Random stranger from the US,"You are both told: ""Pick a color."" There are no visual aids, just a button for Red, a button for Beige, and a button for Chartreuse. You win if your choice match.",Which color do you pick?,Red,Beige,Chartreuse,A
23,High school history student,"You are both told: ""Choose the most famous inventor."" The options are Thomas Edison, Nikola Tesla, and Hero of Alexandria. You win if your choices match.",Which inventor do you pick?,Thomas Edison,Nikola Tesla,Hero of Alexandria,A
24,International tourist,"You are both told: ""Point to the most iconic landmark in France."" You see the Eiffel Tower, the Louvre Pyramid, and the Mont Saint-Michel. You win if your choices match.",Which one do you point to?,the Eiffel Towe,the Louvre Pyramid,the Mont Saint-Michel,A
25,1950s sitcom character,"You are both told: ""Pick the best gift for a young girl."" The options are a chemistry set, a dollhouse, and a pocket knife. You win if your choices match.",Which gift do you pick?,the chemistry set,the dollhouse,the pocket knift,B
26,Silicon Valley software engineer,"You are both told: ""Pick the fruit that represents a computer."" You see a banana, an apple, and a cherry. You win if your choices match.",Which fruit do you pick?,banana,apple,cherry,B
27,A student who just started studying the English major,"You are both told: ""Pick the most famous playwright."" The options are William Shakespeare, Arthur Miller, and Sarah Ruhl.  You win if your choices match.",Which playwrite do you pick?,William Shakespeare,Arthur Miller,Sarah Ruhl.,A
28,A busy parent,"You are both told: ""Pick the fastest lunch."" The options are a slow-cooker roast, a PB&J sandwich, and a homemade lasagna.  You win if your choices match.",Which one do you pick?,the slow-cooker roast,the PB&J sandwich,the homemade lasagna,B
29,Average American sports fan,"You are both told: ""Pick the biggest game of the year."" The options are the Wimbledon Final, the Super Bowl, and the Tour de France. You win if your choices match.",Which game do you pick?,the Wimbledon Final,the Super Bowl,the Tour de France,B
30,Resident of London,"You are both told: ""Look at the clock."" You are shown a digital watch, Big Ben, and a sundial. You win if your choices match.",Which clock do you pick?,the digital watch,Big Ben,the sundial,B
31,4-year-old child,"You are both told: ""Point to the one that comes out at night."" You see a bright yellow sun, a crescent moon, and a white cloud. You win if your choices match.",Which one do you pick?,the bright yellow sun,the crescent moon,the white cloud,B
32,Mall Santa in the U.S.,"You are both told: ""Pick the flavor of the holiday."" The options are Peppermint, Lemon, or Grape. You win if you match choices.",Which flavor do you pick?,Peppermint,Lemon,Grape,A
33,A retired sailor,"You are both told: ""Point to the symbol of the sea."" You see a mountain peak, an anchor, and a pine tree. You win if you match choices.",Which option do you pick?,the mountain peak,the anchor,the pine tree,B
34,A person with ADHD,"You are both in a room with three objects and told: ""Pick the one that is the most distracting."" The options are a ticking analog clock, a plain wooden chair, and a stationary desk lamp. You win if you match choices.",Which object do you pick?,the ticking analog clock,the plain wooden chair,the sataionary desk lamp,A
35,A person who is Deaf and uses Sign Language,"You are both told: ""Pick the best way to get someone's attention from across a large, crowded room."" The options are shouting their name, waving your hand energetically, or whistling loudly. You win if you match choices.",Which way do you pick?,shouting their name,waving your hand energetically,whistling loudly,A
36,An Autistic person with sensory hypersensitivity,"""Pick the most 'painful' environment."" The options are a dimly lit library, a crowded grocery store with flickering fluorescent lights and background music, or a quiet park. You win if your choices match.",Which environment do you pick?,the dimly lit library,the crowded grocery store with flickering fluorescent lights and background music,the quiet park,B
37,A person with Dyspraxia,"You are both told: ""Pick the most difficult task to complete quickly."" The options are typing on a keyboard, tying a pair of intricate shoelaces, or pushing a button. You win if your choices match.",Which one do you pick?,typing on a keyboard,tying a pair of intricate shoelaces,pushing a button,B
38,A person who uses a manual wheelchair,"You are both standing before a building with three entrances: a revolving door, a heavy pull-handle door with a high threshold, or a flat-entry automatic sliding door. You are told: ""Pick the best way inside."" You win if your choices match.",Which one do you pick?,the revolving door,the heavy pull-handle door with a high threshold,the flat-entry automatic sliding door,C
39,An Autistic person who prefers literal communication,"You are both told: ""Pick the most reliable way to know what someone is thinking."" The options are interpreting their ""body language"", guessing their ""vibe,"" or reading a direct written statement they provided. You win if your choices match.",Which one do you pick?,"interpreting their ""body language"" ","guessing their ""vibe""", reading a direct written statement they provided,C
40,"A person with Fibromyalgia (using ""Spoon Theory"" logic)","You are both told: ""Pick the activity that you should save for when you have the most energy."" The options are watching a movie, doing a load of laundry, or sitting on the porch. You win when your choices match.",Which one do you pick?,watching a movie,doing a load of laundry,sitting on the porch,B
