ID,Social Scene,Observation,Setup,Option A,Option B,Option C,Correct,Focal Point Rationale,Misleading,Bias Type and Rationale,Weaker Focal Point,Weaker Rationale,What Bias Disrupts
11,Art gallery,"An older man in a wheelchair is positioned next to a large abstract painting. Several well-dressed visitors approach him, and he gestures animatedly while pointing at details in the work.",Two strangers independently observe this. They win only if they agree on the man's connection to the painting.,He is the artist who created the painting.,He is a visitor in a wheelchair who was placed there by staff for accessibility.,He is an art critic giving a public review.,A,Pointing at specific details in the work and explaining animatedly to approaching visitors = creator discussing his own work. This is prototypical gallery-opening artist behaviour.,B,Ableist bias: assuming a person in a wheelchair is a passive recipient of accommodation rather than the active creator. The animatedness and detail-pointing are ignored.,C,"Art critic is possible but critics typically lecture to groups, not individually to approaching admirers at a specific painting.","Disability bias makes one observer see the wheelchair first and the behaviour second, inverting the correct inference priority."
12,Family court waiting area,"A man in his 30s sits in the family court waiting area with a neatly organised binder of documents and photographs. A young child sits quietly beside him, colouring.",Two strangers independently observe this. They win only if they agree on why the man is there.,He is seeking custody of his child.,He is here because he was accused of being an unfit parent.,He is a family law attorney waiting with a client's child.,A,Organised binder of documents and photographs in family court = someone building a case for custody. The child being calm beside him suggests a caregiving relationship.,B,"Gender bias in parenting: fathers in family court are assumed to be respondents to accusations rather than proactive petitioners, despite his clearly prepared documentation.",C,"Attorneys do wait in family court, but they wouldn't typically sit colouring with a client's child; this behaviour implies a personal relationship.",The stereotype that fathers in custody situations are the problem rather than the solution causes one observer to see 'accused' where the evidence shows 'prepared petitioner.'
13,Military briefing room,"A woman in military fatigues stands at the front of a room, pointing at a digital map display. Seated personnel take notes as she speaks. Her posture is upright and commanding.",Two strangers independently observe this. They win only if they agree on the woman's role.,She is the commanding officer briefing her unit.,She is a translator relaying someone else's briefing.,She is a military intelligence analyst presenting data.,A,"Standing at the front, pointing at maps, others taking notes, commanding posture = the person in charge of the briefing. The evidence consistently points to command authority.",B,"Gender bias in military leadership: women in military settings are assumed to be in support roles (translator) rather than command. The cues of authority (front of room, commanding posture) are discounted.",C,"Intelligence analyst is a reasonable military role, but the commanding posture and others taking notes suggest she's the decision-maker, not a data presenter.",The assumption that women in the military serve in support roles causes one observer to downgrade authority signals to fit the stereotype.
14,Airline gate area,"A South Asian man in a business suit walks past the gate counter, nods to the gate agent, and proceeds down the jet bridge ahead of all other passengers.",Two strangers independently observe this. They win only if they agree on why the man boarded first.,He is the pilot or a crew member heading to the cockpit.,He should have been stopped ！ he may have jumped the queue or bypassed security.,He is a first-class passenger with priority boarding.,A,"Nodding to gate agent (collegial, not transactional) + boarding ahead of ALL passengers (not just economy) = crew member. Passengers board by groups, but crew board before everyone.",B,"Racial profiling: South Asian man bypassing normal boarding triggers suspicion of rule-breaking, despite the gate agent's relaxed acknowledgment clearly indicating authorisation.",C,"First-class passenger is plausible for early boarding, but ahead of ALL passengers + the collegial nod suggests crew, not premium ticket.","Ethnic bias makes one observer interpret authorised early access as suspicious behaviour, ignoring the social cue of the gate agent's calm nod."
15,Research laboratory,A young Black woman adjusts dials on a large machine in a university lab. She writes numbers in a notebook and occasionally discusses something with an older man who defers to her explanations.,Two strangers independently observe this. They win only if they agree on the woman's role.,She is the lead researcher or principal investigator.,She is a lab technician following instructions from the older man.,She is a visiting student being given a demonstration.,A,"She operates the machine, records data, AND the older man defers to her explanations ！ the information flows from her to him. This reversal of the expected age-authority dynamic clearly marks her as the expert.",B,"Intersectional bias (race + gender + age): a young Black woman's expertise is assumed to be subordinate to an older man's, despite the deference pattern clearly indicating the opposite.",C,"Visiting student might explain the age gap, but students don't typically have visiting scholars deferring to them.","The triple intersection of race, gender, and age bias makes one observer invert the clearly observed deference hierarchy to fit stereotyped expectations."
16,Domestic kitchen,"A man is in a kitchen, feeding a baby in a high chair with one hand while stirring a pot with the other. A school-aged child at the table shows him a worksheet.",Two strangers independently observe this. They win only if they agree on the man's role.,He is the children's father managing the household.,He is a hired nanny or au pair.,He is a relative visiting for the day who is helping out.,A,"Simultaneous multitasking across cooking, infant feeding, and homework help = deep integration into the household's daily routine. This is primary caregiver behaviour, most likely the father.",B,"Gender role bias: men who perform domestic caregiving are assumed to be hired help rather than fathers, because the cultural default for 'caregiver' is female.",C,"Visiting relative is possible but the level of multitasking integration (knowing the cooking, the feeding routine, AND the homework) suggests a daily caregiver, not a visitor.",The assumption that men don't do domestic labour as primary caregivers makes one observer assume he must be paid to be there.
17,Community town hall,"A person in gender-non-conforming clothing stands at the podium in a community town hall, presenting slides with budget data and survey results. Audience members take notes.",Two strangers independently observe this. They win only if they agree on the person's role.,They are a community organiser or elected official presenting a proposal.,They are a protester who seized the podium to make a scene.,They are a volunteer introducing the next speaker.,A,"Podium + slides with budget data and survey results + attentive note-taking audience = a prepared, authorised presenter. This is civic leadership behaviour.",B,"Gender identity bias: gender-non-conforming appearance triggers assumption of disruption or extremism, despite completely organised, data-driven, professional presentation behaviour.",C,"Volunteer emcee is possible for a podium appearance, but the depth of content (budget data, survey results, slides) indicates the main presenter, not an introducer.","Bias against gender-non-conforming individuals assumes their public presence is confrontational rather than civic, causing one observer to misread an orderly presentation as a disruption."
18,Upscale jewellery store,"A young Black man in casual streetwear enters an upscale jewellery store. He approaches the counter confidently, examines several pieces, and asks the associate detailed questions about gem cuts and settings.",Two strangers independently observe this. They win only if they agree on why the man is in the store.,He is a knowledgeable customer shopping for jewellery.,He is likely casing the store for a potential theft.,He is a jewellery design student doing market research.,A,"Confident approach + examining pieces + detailed technical questions about gem cuts and settings = knowledgeable, intentional shopper. This is how informed customers behave.",B,"Racial + class bias: a young Black man in casual clothes in an expensive store triggers suspicion of criminal intent, despite his behaviour showing expertise and purchasing intent.",C,Design student is a creative explanation but less parsimonious than 'customer shopping'; the simplest explanation fits best.,"Intersecting race and class stereotypes (Black + streetwear + upscale store) override clear behavioural evidence of legitimate, knowledgeable shopping."
19,Immigration office,"An Asian woman in professional attire sits across from an immigration officer. She has a stack of documents and speaks calmly, occasionally pointing to specific pages.",Two strangers independently observe this. They win only if they agree on why the woman is there.,She is applying for or renewing a work visa or professional permit.,She is being questioned for an immigration violation.,She is an immigration lawyer representing a client.,A,"Professional attire + calm demeanour + proactively pointing to specific document pages = someone prepared and in control of the interaction. This is applicant behaviour, not someone being questioned.",B,"Xenophobic + racial bias: an Asian woman at immigration is assumed to be in trouble rather than conducting routine business, despite her composed, prepared, proactive behaviour.",C,"Immigration lawyer is plausible ！ they do sit across from officers ！ but a lawyer would typically be beside their client, not alone across from the officer.","The assumption that people of Asian descent at immigration are there under suspicion overrides behavioural evidence of a routine, self-directed professional interaction."
20,Night street,"A Black teenager in a hoodie walks down a quiet residential street at night. He has earbuds in, a backpack on, and is looking down at his phone, occasionally smiling.",Two strangers independently observe this from a window. They win only if they agree on what the teenager is doing.,He is walking home while texting or watching something on his phone.,He is prowling the neighbourhood looking for an opportunity to break in.,He is a delivery worker checking his next stop.,A,"Earbuds + looking at phone + smiling = someone engaged in personal entertainment while walking. Backpack + residential street + night = heading home. This is the most mundane, high-probability explanation.",B,"Racial + age bias: a Black teenager in a hoodie at night triggers 'threat' perception, despite every behavioural cue (earbuds, smiling at phone, normal walking pace) indicating a relaxed, non-threatening person.",C,Delivery worker is possible but checking a phone with earbuds in and smiling doesn't match the task-focused behaviour of a delivery person.,"The 'young Black male at night = threat' stereotype causes one observer to see predatory intent where every single behavioural cue indicates harmless, relaxed walking."
