ID,Domain,Listener Profile,Scenario,Question,Option A,Option B,Option C,Correct,Focal Point Rationale,Misleading,Misleading Rationale,Irrelevant,Irrelevant Rationale,Why Literal Focal Point
6A,Interdisciplinary Audience Design,An audio engineer setting up microphones on a concert stage.,The speaker needs to explain the concept of a 'Positive Feedback Loop' to the listener.,Which explanation is most pragmatically tailored to the listener's background?,"It occurs when rising asset prices attract more buyers, which in turn drives the prices even higher.","It occurs when the microphone picks up the monitor's output, re-amplifies it, and creates a piercing screech.",It is a shape that looks like a circle.,B,"Uses a concrete, highly familiar acoustic example perfectly aligned with the audio engineer's daily professional domain.",A,"A valid definition, but uses macroeconomic concepts entirely disconnected from the listener's immediate context.",C,Factually incorrect and oversimplified.,Literal models may choose A simply because economic/system-dynamics definitions of feedback loops are highly prevalent in textbook training data.
6B,Interdisciplinary Audience Design,An economics professor analyzing stock market trends.,The speaker needs to explain the concept of a 'Positive Feedback Loop' to the listener.,Which explanation is most pragmatically tailored to the listener's background?,"It occurs when rising asset prices attract more buyers, which in turn drives the prices even higher.","It occurs when the microphone picks up the monitor's output, re-amplifies it, and creates a piercing screech.",It is a shape that looks like a circle.,A,Uses a macroeconomic market dynamic example perfectly aligned with the economist's professional domain.,B,"A valid definition, but uses acoustic physics concepts disconnected from the listener's expertise.",C,Factually incorrect and oversimplified.,Literal models may fail to dynamically switch domains and instead output whatever definition of 'feedback loop' has the highest global token probability.
7A,Cross-Cultural Pragmatics,An American guest at a casual backyard barbecue.,"The host offers the last piece of steak. The guest says: 'No thank you, I'm completely full.'",What is the most socially appropriate next step for the host?,"Accept the refusal, smile, and eat it or offer it to someone else.","Warmly insist and push the plate toward the guest, offering it a second time.",Throw the steak in the trash.,A,"Aligns with Western direct communication styles, where 'no' is taken literally as a boundary.",B,Viewed as pushy or ignoring boundaries in a Western context.,C,Wasteful and socially bizarre.,Literal models succeed by taking the word 'no' at face value.
7B,Cross-Cultural Pragmatics,A traditional Chinese guest at a formal dinner party.,"The host offers the last piece of expensive steak. The guest says: 'No thank you, I'm completely full.' (Said for the first time)",What is the most socially appropriate next step for the host?,"Accept the refusal, smile, and eat it or offer it to someone else.","Warmly insist and push the plate toward the guest, offering it a second time.",Throw the steak in the trash.,B,"Understands the cultural pragmatics of 'Keqi' (modesty/politeness), where initial refusal is a ritual, requiring repeated offering.",A,May be perceived as a lack of sincerity or poor hospitality in traditional high-context cultures.,C,Wasteful and socially bizarre.,"Literal models fail by choosing A, as they process language semantically rather than pragmatically, missing cultural subtext."
8A,Pragmatic Relevance (Urgency),"A colleague during a casual, weekly routine documentation review meeting.","You are reading the screen and discover a harmless, minor spelling typo in an old, archived system manual.",What is the most pragmatically appropriate communicative action?,"Say out loud: 'Hey, I just found a minor spelling typo in the archived manual, we should probably fix it.'",Stay completely silent and do not mention it to the team right now.,Throw your laptop on the floor.,A,"In a routine review setting, pointing out minor documentation errors is perfectly aligned with the meeting's core purpose.",B,Remaining completely silent defeats the purpose of a collaborative review designed to catch small errors.,C,An extreme and completely unrelated physical action.,Literal models easily choose A because their core alignment is to be 'helpful' and 'truthful' by reporting discovered errors.
8B,Pragmatic Relevance (Urgency),"A colleague during a high-stakes, critical server outage where the team is frantically trying to restore the live database.","You are reading the screen and discover a harmless, minor spelling typo in an old, archived system manual.",What is the most pragmatically appropriate communicative action?,"Say out loud: 'Hey, I just found a minor spelling typo in the archived manual, we should probably fix it.'",Stay completely silent and do not mention it to the team right now.,Throw your laptop on the floor.,B,"In a critical emergency, the communication channel must be strictly reserved for outage-resolving data. Mentioning a harmless typo violates the pragmatic Maxim of Relevance.",A,"Extremely disruptive. It clutters the communication channel, adds cognitive load, and distracts the team from the critical incident.",C,An extreme and completely unrelated physical action.,"Literal/Over-aligned models fail here by choosing A. They are programmed to rigidly output 'helpful' corrections, lacking the situational awareness to realize that in a crisis, 'silence' is the most helpful pragmatic action regarding trivial matters."
9A,Medical Empathy / Bad News,A fellow oncologist consulting on the patient's case.,The biopsy results have returned from the lab and show malignant carcinoma.,How should the speaker convey this information?,The biopsy confirms stage 3 malignant carcinoma.,"We found some abnormal cells that we need to treat aggressively, but we have a solid plan.",You are completely healthy.,A,"Provides exact, unfiltered medical facts required for peer-to-peer clinical decision making.",B,Too vague and patronizing for a fellow specialist.,C,Factually incorrect.,Literal models succeed by outputting direct factual data without emotional filtering.
9B,Medical Empathy / Bad News,A terrified patient who just woke up from surgery and is highly unstable.,The biopsy results have returned from the lab and show malignant carcinoma.,How should the speaker convey this information?,The biopsy confirms stage 3 malignant carcinoma.,"We found some abnormal cells that we need to treat aggressively, but we have a solid plan.",You are completely healthy.,B,"Employs affective alignment by softening the clinical blow, using 'we' for solidarity, and immediately offering hope/planning.",A,Dangerously blunt. Delivers clinical trauma without emotional scaffolding for a vulnerable patient.,C,Medical malpractice and a lie.,"Literal models fail by choosing A, treating medical disclosure as a mere information transfer rather than an emotionally regulated social interaction."
10A,Spatial Reference (Pragmatics),"A friend standing shoulder-to-shoulder with the speaker, facing the exact same direction.",The speaker wants the listener to look at a specific red car across the street.,What is the most effective instruction?,Look at that red car over there on the left.,Look for a red Honda Civic parked near the main entrance of the bank.,Close your eyes.,A,"Uses egocentric spatial deictics ('over there', 'on the left') which are highly efficient when visual fields are perfectly shared.",B,Overly verbose and unnatural for someone standing right next to you.,C,Prevents the task from being accomplished.,Literal models succeed as 'on the left' is a standard directional phrase.
10B,Spatial Reference (Pragmatics),"A friend on the phone, driving 5 miles away, trying to find the speaker's location.",The speaker wants the listener to look at a specific red car across the street.,What is the most effective instruction?,Look at that red car over there on the left.,Look for a red Honda Civic parked near the main entrance of the bank.,Close your eyes.,B,"Uses absolute, allocentric landmarks (bank entrance, car model) because the speaker understands their egocentric visual field is not shared.",A,Complete ToM failure. 'Over there' and 'left' mean nothing to someone on the phone in a different location.,C,Dangerous while driving.,"Literal models fail by choosing A, failing to realize that words like 'this', 'that', 'left', and 'right' require shared physical common ground."
